"age","gender","time_spent","platform","interests","location","demographics","profession","income","indebt","isHomeOwner","Owns_Car"
"46","female","2","Facebook","Travel","United Kingdom","Urban","Student","10564","True","True","True"
"38","male","3","Facebook","Travel","United States","Urban","Marketer Manager","19179","True","True","True"
"41","non-binary","5","Facebook","Sports","United States","Sub_Urban","Marketer Manager","10350","False","False","False"
"53","non-binary","5","Facebook","Sports","Australia","Rural","Student","17314","False","True","True"
"20","male","6","Facebook","Sports","United Kingdom","Sub_Urban","Software Engineer","18540","True","True","False"
"41","female","9","Facebook","Sports","United States","Sub_Urban","Student","12226","False","False","False"
"61","female","4","Facebook","Sports","United States","Urban","Marketer Manager","17206","False","False","False"
"29","non-binary","9","Facebook","Travel","Australia","Rural","Student","15322","True","False","True"
"61","female","3","Facebook","Lifestlye","Australia","Sub_Urban","Marketer Manager","16878","True","False","False"
"59","male","1","Facebook","Sports","United States","Urban","Marketer Manager","14161","False","False","True"
"45","male","8","Facebook","Lifestlye","United States","Rural","Software Engineer","14042","True","False","True"
"26","male","9","Facebook","Travel","Australia","Rural","Software Engineer","12824","False","False","False"
"64","male","1","Facebook","Travel","United States","Urban","Marketer Manager","10501","False","False","False"
"24","female","8","Facebook","Sports","United States","Sub_Urban","Software Engineer","10048","False","True","True"
"31","male","2","Facebook","Lifestlye","Australia","Sub_Urban","Software Engineer","10969","True","False","False"
"53","male","5","Facebook","Sports","United States","Sub_Urban","Software Engineer","15820","False","True","True"
"19","non-binary","7","Facebook","Sports","Australia","Urban","Software Engineer","12302","False","True","True"
"43","non-binary","1","Facebook","Lifestlye","United Kingdom","Urban","Student","19472","False","False","False"
"27","non-binary","4","Facebook","Travel","United States","Rural","Student","19139","False","False","True"
"53","non-binary","5","Facebook","Sports","United Kingdom","Urban","Student","14958","True","True","True"
"31","non-binary","2","Facebook","Sports","Australia","Urban","Student","10524","True","True","False"
"57","female","7","Facebook","Lifestlye","United States","Sub_Urban","Software Engineer","13749","False","True","False"
"38","non-binary","8","Facebook","Sports","United Kingdom","Urban","Marketer Manager","18186","False","True","False"
"33","non-binary","2","Facebook","Lifestlye","Australia","Rural","Marketer Manager","14453","True","True","True"
"35","female","6","Facebook","Sports","United States","Sub_Urban","Software Engineer","14551","True","True","False"
"43","male","4","Facebook","Sports","Australia","Rural","Student","18677","False","False","True"
"42","male","2","Facebook","Lifestlye","United Kingdom","Urban","Marketer Manager","18391","False","True","False"
"46","male","2","Facebook","Sports","United States","Rural","Student","19663","True","True","True"
"41","female","6","Facebook","Travel","United States","Rural","Software Engineer","19609","False","True","False"
"34","non-binary","2","Facebook","Sports","United Kingdom","Urban","Student","13815","False","True","False"
"52","non-binary","8","Facebook","Sports","Australia","Sub_Urban","Marketer Manager","14709","False","False","False"
"50","male","1","Facebook","Travel","United States","Rural","Marketer Manager","16575","True","True","True"
"56","male","4","Facebook","Sports","United Kingdom","Sub_Urban","Software Engineer","15192","True","False","False"
"25","non-binary","5","Facebook","Sports","United Kingdom","Sub_Urban","Software Engineer","11564","True","False","True"
"29","female","9","Facebook","Lifestlye","United States","Sub_Urban","Student","11840","False","True","False"
"50","non-binary","2","Facebook","Lifestlye","Australia","Rural","Student","17131","False","False","False"
"40","male","6","Facebook","Sports","United States","Rural","Software Engineer","10726","False","False","True"
"22","male","2","Facebook","Sports","United States","Sub_Urban","Marketer Manager","18505","True","True","True"
"26","non-binary","8","Facebook","Lifestlye","United Kingdom","Urban","Software Engineer","19217","True","False","True"
"47","male","1","Facebook","Sports","United Kingdom","Rural","Student","17938","True","False","False"
"40","non-binary","1","Facebook","Travel","Australia","Urban","Software Engineer","16966","False","True","True"
"60","male","8","Facebook","Lifestlye","Australia","Rural","Marketer Manager","15611","False","False","True"
