"age","gender","time_spent","platform","interests","location","demographics","profession","income","indebt","isHomeOwner","Owns_Car"
"56","male","3","Instagram","Sports","United Kingdom","Urban","Software Engineer","19774","True","False","False"
"32","male","8","Instagram","Sports","Australia","Sub_Urban","Marketer Manager","13258","False","False","False"
"60","non-binary","5","Instagram","Travel","United Kingdom","Urban","Student","12500","False","True","False"
"25","male","1","Instagram","Lifestlye","Australia","Urban","Software Engineer","14566","False","True","True"
"36","male","4","Instagram","Sports","Australia","Urban","Marketer Manager","13636","True","False","True"
"28","non-binary","2","Instagram","Sports","Australia","Sub_Urban","Marketer Manager","10223","True","False","True"
"57","female","6","Instagram","Lifestlye","United Kingdom","Urban","Software Engineer","11928","False","True","False"
"39","male","8","Instagram","Travel","United States","Sub_Urban","Student","14732","True","True","False"
"19","female","7","Instagram","Sports","United Kingdom","Rural","Marketer Manager","11017","False","True","True"
"47","male","2","Instagram","Sports","United Kingdom","Rural","Software Engineer","17170","False","False","True"
"50","non-binary","9","Instagram","Sports","United Kingdom","Rural","Software Engineer","11893","True","False","False"
"39","male","2","Instagram","Lifestlye","Australia","Urban","Software Engineer","17718","True","False","False"
"33","female","8","Instagram","Lifestlye","United States","Urban","Software Engineer","14433","False","True","True"
"64","non-binary","7","Instagram","Lifestlye","Australia","Sub_Urban","Software Engineer","12658","True","True","False"
"61","male","3","Instagram","Travel","United States","Rural","Marketer Manager","13483","False","True","False"
"20","male","6","Instagram","Lifestlye","United Kingdom","Sub_Urban","Software Engineer","12944","True","False","False"
"24","non-binary","1","Instagram","Lifestlye","United States","Rural","Software Engineer","17653","True","False","True"
"38","non-binary","5","Instagram","Sports","Australia","Sub_Urban","Software Engineer","18787","True","True","True"
"26","female","4","Instagram","Sports","United Kingdom","Sub_Urban","Software Engineer","11986","True","False","False"
"56","female","8","Instagram","Sports","Australia","Urban","Software Engineer","11074","True","False","False"
"35","female","1","Instagram","Lifestlye","Australia","Urban","Marketer Manager","14305","True","True","False"
"21","male","9","Instagram","Travel","United States","Rural","Marketer Manager","13007","False","True","True"
"31","female","4","Instagram","Travel","United Kingdom","Urban","Student","18772","True","False","True"
"43","female","5","Instagram","Sports","Australia","Sub_Urban","Software Engineer","11211","True","True","False"
"19","non-binary","5","Instagram","Sports","Australia","Sub_Urban","Marketer Manager","10229","True","True","True"
"64","non-binary","4","Instagram","Lifestlye","United States","Rural","Marketer Manager","18880","True","True","True"
"34","male","9","Instagram","Travel","United States","Rural","Marketer Manager","19197","True","False","False"
"57","male","4","Instagram","Travel","United Kingdom","Urban","Software Engineer","13052","True","False","False"
"23","female","3","Instagram","Lifestlye","United Kingdom","Urban","Software Engineer","12283","False","False","True"
"59","female","6","Instagram","Lifestlye","Australia","Sub_Urban","Student","19799","False","True","False"
"61","female","1","Instagram","Travel","Australia","Sub_Urban","Software Engineer","13727","True","False","False"
"25","non-binary","9","Instagram","Travel","United Kingdom","Urban","Student","10148","False","False","False"
"31","male","2","Instagram","Sports","United Kingdom","Rural","Marketer Manager","18001","True","False","True"
"62","male","7","Instagram","Sports","United Kingdom","Sub_Urban","Marketer Manager","15336","False","False","True"
"64","male","4","Instagram","Travel","United Kingdom","Urban","Marketer Manager","12823","False","False","True"
"41","male","7","Instagram","Sports","United Kingdom","Urban","Software Engineer","15728","False","True","False"
"32","female","5","Instagram","Sports","Australia","Rural","Software Engineer","12311","True","False","True"
"62","female","1","Instagram","Lifestlye","Australia","Rural","Software Engineer","17225","False","False","True"
"18","female","7","Instagram","Travel","United States","Sub_Urban","Software Engineer","19713","False","True","False"
"42","female","8","Instagram","Lifestlye","Australia","Urban","Student","10604","True","False","False"
"24","male","6","Instagram","Lifestlye","United States","Sub_Urban","Student","18175","False","True","True"
"61","female","1","Instagram","Lifestlye","United States","Rural","Marketer Manager","17759","True","True","True"
"25","female","7","Instagram","Lifestlye","Australia","Rural","Student","17532","True","True","True"
"41","male","7","Instagram","Travel","United Kingdom","Rural","Software Engineer","18740","True","True","True"
"28","non-binary","2","Instagram","Lifestlye","United States","Urban","Marketer Manager","10838","True","False","False"
"25","male","1","Instagram","Travel","Australia","Rural","Marketer Manager","10847","False","False","True"
"52","male","8","Instagram","Sports","United Kingdom","Sub_Urban","Software Engineer","14507","False","False","True"
"59","non-binary","9","Instagram","Sports","Australia","Sub_Urban","Software Engineer","14468","False","False","False"
"45","non-binary","1","Instagram","Sports","United States","Rural","Marketer Manager","14698","False","False","False"
"24","non-binary","3","Instagram","Travel","United States","Sub_Urban","Marketer Manager","14311","False","False","False"
"26","non-binary","5","Instagram","Travel","United States","Sub_Urban","Marketer Manager","13673","False","False","True"
"41","non-binary","9","Instagram","Lifestlye","United States","Urban","Marketer Manager","19436","False","False","False"
"54","female","1","Instagram","Sports","United Kingdom","Urban","Student","16697","False","False","True"
"52","female","9","Instagram","Lifestlye","United Kingdom","Rural","Marketer Manager","19257","True","True","True"
"61","female","9","Instagram","Sports","Australia","Sub_Urban","Marketer Manager","10282","False","True","False"
"57","female","9","Instagram","Sports","United States","Sub_Urban","Marketer Manager","11081","True","True","True"
"39","non-binary","5","Instagram","Lifestlye","Australia","Rural","Student","13885","False","True","True"
"44","non-binary","9","Instagram","Travel","United Kingdom","Sub_Urban","Software Engineer","12881","False","False","False"
"64","male","6","Instagram","Lifestlye","United States","Rural","Student","14760","False","False","False"
"20","female","6","Instagram","Travel","United States","Sub_Urban","Marketer Manager","10066","False","False","False"
"56","male","3","Instagram","Sports","United Kingdom","Urban","Software Engineer","19017","True","False","False"
"32","female","6","Instagram","Sports","Australia","Sub_Urban","Software Engineer","12251","False","True","False"
"32","male","7","Instagram","Lifestlye","United States","Urban","Marketer Manager","10804","False","True","True"
"59","female","5","Instagram","Sports","Australia","Sub_Urban","Marketer Manager","19583","False","True","True"
"30","male","1","Instagram","Sports","United States","Rural","Marketer Manager","11235","True","False","True"
"49","female","7","Instagram","Sports","United Kingdom","Rural","Software Engineer","16720","True","False","True"
"56","non-binary","5","Instagram","Lifestlye","United States","Urban","Marketer Manager","16906","True","True","True"
"49","male","3","Instagram","Sports","United Kingdom","Sub_Urban","Marketer Manager","16016","False","False","True"
"21","female","9","Instagram","Sports","United Kingdom","Urban","Software Engineer","13549","True","False","True"
"56","non-binary","3","Instagram","Sports","United States","Rural","Student","19546","False","False","False"
"62","male","6","Instagram","Travel","United Kingdom","Sub_Urban","Software Engineer","15335","False","True","False"
"30","female","3","Instagram","Travel","Australia","Urban","Student","15577","True","False","True"
"39","male","2","Instagram","Lifestlye","Australia","Rural","Marketer Manager","16683","True","True","False"
"45","non-binary","5","Instagram","Lifestlye","United States","Sub_Urban","Software Engineer","14065","True","False","False"
"61","male","6","Instagram","Lifestlye","United States","Rural","Student","11603","False","False","True"
"28","female","7","Instagram","Lifestlye","United Kingdom","Rural","Software Engineer","12441","False","True","False"
"45","male","7","Instagram","Lifestlye","United States","Sub_Urban","Student","11098","True","False","True"
"18","non-binary","3","Instagram","Travel","United Kingdom","Sub_Urban","Student","18488","False","True","False"
"20","non-binary","3","Instagram","Lifestlye","United Kingdom","Sub_Urban","Student","15988","True","False","True"
"56","female","2","Instagram","Sports","United States","Urban","Student","10175","False","False","True"
"54","female","8","Instagram","Travel","Australia","Rural","Marketer Manager","11823","False","True","True"
"49","non-binary","9","Instagram","Travel","United Kingdom","Urban","Student","10546","False","True","False"
"49","female","7","Instagram","Sports","United States","Urban","Student","15231","False","False","True"
"19","male","8","Instagram","Travel","United Kingdom","Rural","Software Engineer","11752","False","True","False"
